{113, 134, 173, 47, 159, 10},
{113, 134, 173, 47, 150, 10},
{113, 134, 173, 47, 141, 10},
{113, 134, 173, 47, 132, 10},
{113, 134, 173, 47, 122, 10},
{113, 134, 173, 47, 113, 10},
{113, 134, 173, 47, 104, 10},
{113, 134, 173, 47, 95, 10},
{113, 134, 173, 47, 85, 10},
{113, 134, 173, 47, 76, 10},
{113, 134, 173, 47, 67, 10},
{113, 134, 173, 47, 58, 10},
{113, 134, 173, 47, 48, 10},
{113, 134, 173, 47, 39, 10},
{113, 134, 173, 47, 30, 10},
{113, 134, 173, 47, 21, 10},
{113, 134, 173, 47, 11, 10},
{113, 134, 173, 47, 2, 10},
{113, 134, 173, 47, 2, 73},
{113, 134, 173, 47, 2, 10},
{113, 134, 173, 47, 12, 10},
{113, 134, 173, 47, 22, 10},
{113, 134, 173, 47, 32, 10},
{113, 134, 173, 47, 41, 10},
{113, 134, 173, 47, 51, 10},
{113, 134, 173, 47, 61, 10},
{113, 134, 173, 47, 71, 10},
{113, 134, 173, 47, 81, 10},
{113, 134, 173, 47, 91, 10},
{113, 134, 173, 47, 91, 73},
{90, 90, 90, 90, 90, 10},
{90, 89, 90, 89, 89, 10},
{90, 89, 91, 88, 89, 10},
{91, 88, 93, 86, 89, 10},
{92, 87, 95, 85, 89, 10},
{94, 86, 100, 81, 88, 10},
{96, 84, 104, 78, 87, 10},
{98, 82, 109, 74, 87, 10},
{99, 80, 114, 70, 86, 10},
{101, 79, 117, 67, 85, 10},
{102, 78, 120, 65, 85, 10},
{103, 77, 122, 63, 85, 10},
{104, 76, 124, 61, 84, 10},
{105, 75, 127, 59, 84, 10},
{106, 74, 129, 57, 84, 10},
{107, 73, 132, 55, 83, 10},
{108, 72, 134, 53, 83, 10},
{109, 71, 136, 52, 83, 10},
{109, 71, 137, 51, 82, 10},
{110, 70, 139, 49, 82, 10},
{111, 70, 141, 48, 82, 10},
{111, 69, 142, 47, 82, 10},
{112, 69, 143, 46, 82, 10},
{112, 68, 145, 44, 81, 10},
{113, 67, 147, 43, 81, 10},
{115, 66, 151, 40, 80, 10},
{117, 64, 155, 36, 80, 10},
{118, 62, 159, 33, 79, 10},
{120, 61, 163, 30, 79, 10},
{121, 60, 165, 28, 78, 10},
{121, 59, 167, 27, 78, 10},
{122, 59, 168, 26, 78, 10},
{122, 59, 169, 25, 78, 10},
{122, 59, 169, 25, 78, 73},
{90, 90, 90, 90, 90, 10},
{86, 93, 89, 95, 89, 10},
{82, 97, 88, 101, 88, 10},
{78, 101, 87, 107, 88, 10},
{75, 105, 86, 112, 87, 10},
{72, 108, 85, 117, 87, 10},
{68, 111, 85, 122, 86, 10},
{66, 114, 84, 126, 86, 10},
{63, 117, 83, 130, 85, 10},
{61, 119, 83, 133, 85, 10},
{59, 121, 82, 136, 85, 10},
{58, 122, 82, 138, 84, 10},
{57, 124, 82, 140, 84, 10},
{56, 125, 82, 142, 84, 10},
{55, 126, 81, 143, 84, 10},
{54, 126, 81, 144, 84, 10},
{54, 127, 81, 145, 84, 10},
{54, 127, 81, 145, 84, 73},
{90, 90, 90, 90, 90, 10},
{91, 90, 92, 91, 92, 10},
{93, 90, 95, 93, 95, 10},
{94, 90, 98, 95, 98, 10},
{96, 91, 101, 97, 100, 10},
{98, 91, 104, 99, 103, 10},
{99, 91, 107, 101, 106, 10},
{101, 92, 110, 103, 108, 10},
{103, 92, 113, 105, 111, 10},
{104, 92, 116, 107, 113, 10},
{105, 93, 118, 108, 115, 10},
{108, 93, 123, 111, 120, 10},
{110, 94, 127, 114, 124, 10},
{113, 94, 132, 117, 128, 10},
{115, 94, 135, 119, 131, 10},
{116, 95, 138, 121, 133, 10},
{118, 95, 141, 123, 136, 10},
{119, 95, 143, 125, 138, 10},
{120, 95, 145, 126, 140, 10},
{121, 96, 147, 127, 141, 10},
{122, 96, 148, 128, 143, 10},
{123, 96, 150, 129, 144, 10},
{123, 96, 150, 129, 144, 73},
{90, 90, 90, 90, 90, 10},
{91, 90, 92, 91, 92, 10},
{93, 90, 95, 93, 95, 10},
{94, 90, 98, 95, 97, 10},
{96, 91, 101, 97, 100, 10},
{97, 91, 104, 99, 103, 10},
{99, 91, 107, 101, 105, 10},
{101, 92, 110, 103, 108, 10},
{102, 92, 113, 105, 110, 10},
{104, 92, 115, 106, 113, 10},
{105, 93, 118, 108, 116, 10},
{107, 93, 121, 110, 118, 10},
{109, 93, 124, 112, 121, 10},
{110, 93, 127, 114, 123, 10},
{112, 94, 130, 116, 126, 10},
{113, 94, 133, 118, 129, 10},
{115, 94, 136, 120, 131, 10},
{117, 95, 138, 122, 134, 10},
{118, 95, 141, 123, 136, 10},
{120, 95, 144, 125, 139, 10},
{121, 96, 147, 127, 142, 10},
{123, 96, 150, 129, 144, 10},
{123, 96, 150, 129, 144, 73},
{123, 96, 150, 129, 144, 10},
{119, 96, 150, 129, 143, 10},
{115, 96, 149, 128, 142, 10},
{111, 96, 149, 128, 141, 10},
{106, 96, 148, 128, 139, 10},
{101, 96, 147, 127, 138, 10},
{95, 96, 147, 127, 136, 10},
{90, 96, 146, 126, 135, 10},
{85, 96, 146, 126, 133, 10},
{82, 96, 145, 126, 132, 10},
{79, 96, 145, 125, 132, 10},
{77, 96, 145, 125, 131, 10},
{75, 96, 144, 125, 130, 10},
{72, 96, 144, 125, 129, 10},
{69, 96, 144, 125, 128, 10},
{65, 96, 143, 124, 128, 10},
{62, 96, 143, 124, 127, 10},
{58, 96, 142, 124, 125, 10},
{54, 96, 142, 123, 124, 10},
{50, 96, 141, 123, 123, 10},
{46, 96, 141, 123, 122, 10},
{46, 96, 141, 123, 122, 73},
{46, 96, 141, 123, 122, 10},
{49, 96, 139, 121, 121, 10},
{52, 96, 137, 118, 119, 10},
{54, 96, 135, 116, 118, 10},
{57, 96, 133, 114, 116, 10},
{60, 97, 131, 112, 115, 10},
{62, 97, 129, 110, 113, 10},
{65, 97, 127, 108, 112, 10},
{68, 97, 125, 105, 110, 10},
{70, 97, 123, 103, 109, 10},
{73, 97, 121, 101, 107, 10},
{75, 98, 120, 99, 106, 10},
